id,prediction
0,D B E
1,A D C
2,A C E
3,C A B
4,D A B
5,B C D
6,A C B
7,D B E
8,C A B
9,A B E
10,E B A
11,E A C
12,C E A
13,E D A
14,B D C
15,B C E
16,C A B
17,E B D
18,A D C
19,E D B
20,D C B
21,D C E
22,C D B
23,B D E
24,A E D
25,E D B
26,A C E
27,D B C
28,E B C
29,C B D
30,B D E
31,E D B
32,A E B
33,D B E
34,E C D
35,E B A
36,E A C
37,A C D
38,E D C
39,C A E
40,E A D
41,E D B
42,B C D
43,C D B
44,B A D
45,A B C
46,B E C
47,C D E
48,D E A
49,B A D
50,B A E
51,E C A
52,C B A
53,D A B
54,B A C
55,B E C
56,C D A
57,C B D
58,E D A
59,C D B
60,B C A
61,E B D
62,C A D
63,C E A
64,A D B
65,B D C
66,C E D
67,E C A
68,C D E
69,D E A
70,C A E
71,A E B
72,D C A
73,E B D
74,A D E
75,A E B
76,D A B
77,B C A
78,C B E
79,E C A
80,C E A
81,A E D
82,C E B
83,A D C
84,C E B
85,D C E
86,B E D
87,B A C
88,E C A
89,D E B
90,B A D
91,B D C
92,B C D
93,C E B
94,E B D
95,C A D
96,C D B
97,D B E
98,D B C
99,C D B
100,D B A
101,B A E
102,C A D
103,B E D
104,C D A
105,D B E
106,A C B
107,C D B
108,A C E
109,D C E
110,C E A
111,D E C
112,A D B
113,B C A
114,D A B
115,E C B
116,B C A
117,C D E
118,D B E
119,A B C
120,D A C
121,C A D
122,B E C
123,A D B
124,E B C
125,D E B
126,B C D
127,C D E
128,B E D
129,E D B
130,A B E
131,C D B
132,E B D
133,B C E
134,C E D
135,E B A
136,A E B
137,D C B
138,A E B
139,A D B
140,C D B
141,E B A
142,B C E
143,A D C
144,A C E
145,B C E
146,B D E
147,C A D
148,B C D
149,B D E
150,B C E
151,A D B
152,A C B
153,A B D
154,B D A
155,E A B
156,D A B
157,C A E
158,A C E
159,A B D
160,A C D
161,E C D
162,C D E
163,B D C
164,C B D
165,D A E
166,B A E
167,D C E
168,E C D
169,A B D
170,B C A
171,E B D
172,B A E
173,C D A
174,B D C
175,E B D
176,D E A
177,C D B
178,A B D
179,E C A
180,B A E
181,A B E
182,A C D
183,C A D
184,A B D
185,A D C
186,C A E
187,A D E
188,D C B
189,A B D
190,E D C
191,C E B
192,B A C
193,B C D
194,D B E
195,C A E
196,B C A
197,B A D
198,D C A
199,D A C
